id,create_time,name,message,type,link,comments,reactions,shares
1556276644616898_1670078586570036,2016-12-27 06:14:29,跑跑薑餅人：烤箱大逃亡's cover photo,,photo,https://www.facebook.com/cookierunzh/photos/a.1556717001239529.1073741827.1556276644616898/1670078586570036/?type=3,156,959,28.0
1556276644616898_1710276122550282,2016-12-24 16:00:01,Timeline Photos,"🎅聖誕快樂！
聖誕節❄️不能沒有薑餅人😊
希望你今年也過得愉快、跑得更愉快！",photo,https://www.facebook.com/cookierunzh/photos/a.1671410236436871.1073741828.1556276644616898/1710276122550282/?type=3,71,524,4.0
1556276644616898_1710275975883630,2016-12-23 16:02:35,Timeline Photos,"🎄🎅平安夜快樂🎅🎄
祝各位跑跑玩家擁有美好的平安夜晚
團聚時光～記得打開藍牙加好友，一起跑跑吧！
我們一直和你同在喲～⭐",photo,https://www.facebook.com/cookierunzh/photos/a.1671410236436871.1073741828.1556276644616898/1710275975883630/?type=3,68,446,2.0
1556276644616898_1711328912445003,2016-12-23 09:20:00,Timeline Photos,"2016年有你真好！
帶有小小心意的小禮物在等著你喔！🔑🎁",photo,https://www.facebook.com/cookierunzh/photos/a.1671410236436871.1073741828.1556276644616898/1711328912445003/?type=3,117,761,4.0
1556276644616898_839273406213611,2016-12-20 05:05:05,Happy Holidays from Cookie Run!,"冬季快樂！
感謝您今年對我們跑跑薑餅人的支持，跑跑薑餅人團隊感謝您一直在。^_^",video,https://www.facebook.com/cookierunzh/videos/839273406213611/,98,828,17.0
1556276644616898_1708085346102693,2016-12-16 11:00:00,Timeline Photos,"達到600萬用戶紀念。送給大家1000個水晶！
跑跑薑餅人感謝您的支持與喜愛！",photo,https://www.facebook.com/cookierunzh/photos/a.1671410236436871.1073741828.1556276644616898/1708085346102693/?type=3,202,1616,10.0
1556276644616898_1706717276239500,2016-12-15 05:00:01,Timeline Photos,"想要尋找寶物嗎？
寶物是從寶箱裏面隨機抽取的！
逃出等級越高，出現的寶物幾率越大喔！",photo,https://www.facebook.com/cookierunzh/photos/a.1671410236436871.1073741828.1556276644616898/1706717276239500/?type=3,126,583,4.0
1556276644616898_1706373716273856,2016-12-12 11:16:54,跑跑薑餅人：烤箱大逃亡's cover photo,,photo,https://www.facebook.com/cookierunzh/photos/a.1556717001239529.1073741827.1556276644616898/1706373716273856/?type=3,123,449,3.0
1556276644616898_1703205486590679,2016-12-09 08:00:00,Timeline Photos,"想要成為富翁嗎？
相信餅乾們吧！逃出6&12級，就會出現任務喔！",photo,https://www.facebook.com/cookierunzh/photos/a.1671410236436871.1073741828.1556276644616898/1703205486590679/?type=3,207,710,5.0
1556276644616898_1691611424416752,2016-12-06 11:00:00,Timeline Photos,"提醒跑跑玩家
記得把自己～包緊緊⛄",photo,https://www.facebook.com/cookierunzh/photos/a.1671410236436871.1073741828.1556276644616898/1691611424416752/?type=3,162,619,5.0
1556276644616898_1700056016905626,2016-11-30 21:00:00,Timeline Photos,"🔥寒冬中～為你送上跑跑薑餅人更新公告！🔥
一起來～跑跑跳跳！暖暖身！
我們遊戲裡見囉😃",photo,https://www.facebook.com/cookierunzh/photos/a.1671410236436871.1073741828.1556276644616898/1700056016905626/?type=3,432,1233,9.0
1556276644616898_1700031986908029,2016-11-30 12:00:00,Timeline Photos,"【遊戲維護公告】
11月30日 22:00 - 12月1日 04:00 進行遊戲定期維護 (預計6小時)

為提供更優質、有趣的跑跑薑餅人～請耐心等候哦😊",photo,https://www.facebook.com/cookierunzh/photos/a.1671410236436871.1073741828.1556276644616898/1700031986908029/?type=3,133,621,5.0
1556276644616898_1697241670520394,2016-11-27 12:00:00,Timeline Photos,"🌟🌟🌟送上第3個小消息！
請跑跑玩家們～即將準備囉！",photo,https://www.facebook.com/cookierunzh/photos/a.1671410236436871.1073741828.1556276644616898/1697241670520394/?type=3,286,822,7.0
1556276644616898_1697241150520446,2016-11-26 12:00:00,Timeline Photos,"🌟🌟第2個新消息來囉！
請期待新的更新😊",photo,https://www.facebook.com/cookierunzh/photos/a.1671410236436871.1073741828.1556276644616898/1697241150520446/?type=3,253,762,4.0
1556276644616898_1697240690520492,2016-11-25 13:20:42,Timeline Photos,"🌟餅乾們送來的新消息！
敬請期待～！！",photo,https://www.facebook.com/cookierunzh/photos/a.1671410236436871.1073741828.1556276644616898/1697240690520492/?type=3,266,1203,15.0
1556276644616898_1697279127183315,2016-11-24 13:30:00,,"跑跑薑餅人即將帶來新內容！
😊歡迎鎖定我們的最新消息👈",status,,167,674,3.0
1556276644616898_1694573580787203,2016-11-19 05:00:00,"【MUKBANG】 I Tried to Play Cookie Run : Oven Break ! [ 2Kg of Cookies, 8200Kcal ] | Yuka [Oogui]","來看看甜美的日本大食王【木下佑香】
究竟！能吃下幾個超大餅乾吧！💪",video,https://youtu.be/UCOLs4Pw1hs,111,453,1.0
1556276644616898_1693921700852391,2016-11-17 08:00:00,Timeline Photos,"好友越多、越好玩喔！😄
一起Run、一起成長！😃",photo,https://www.facebook.com/cookierunzh/photos/a.1671410236436871.1073741828.1556276644616898/1693921700852391/?type=3,734,1148,26.0
1556276644616898_1693592817551946,2016-11-16 08:04:47,[麻吉度診斷] 在跑跑薑餅人的世界裡和我一起奔跑的朋友是?!,"🔍 好友診斷時間來囉🔍

和你同享樂、共患難的好朋友是誰呢？！
😝一測見真章～

馬上tag好友一起玩❤",link,http://tw.vonvon.me/quiz/1457?utm_source=facebook&utm_medium=fbpage&utm_campaign=tw1457&utm_content=2016-11-16&utm_term=pagefan_mf_1365&grt_origin=facebook_fbpage_tw1457_2016-11-16_pagefan_mf_1365,127,408,15.0
1556276644616898_1693182414259653,2016-11-15 08:00:00,Photos from 跑跑薑餅人：烤箱大逃亡's post,"跑跑過程中，遇到各種疑難雜症嗎❓
歡迎前往我們的FAQ專區😊
https://cs.devsisters.com/cookierun-ovenbreak",photo,https://www.facebook.com/cookierunzh/photos/a.1671410236436871.1073741828.1556276644616898/1693182197593008/?type=3,88,383,8.0
1556276644616898_1691606621083899,2016-11-11 07:04:46,Timeline Photos,"🌟跑跑粉絲的可愛創作
爆米花＋甜甜圈＝夢幻口味

By: https://twitter.com/@Hoshi_kabi_0618

歡迎與我們分享～你的小創作喔😊",photo,https://www.facebook.com/cookierunzh/photos/a.1671410236436871.1073741828.1556276644616898/1691606621083899/?type=3,121,515,6.0
1556276644616898_1689841771260384,2016-11-07 08:00:00,Timeline Photos,"歡迎各位跑跑玩家一起加入論壇哦！

👉 https://forum.cookierun.com

一起討論交流、一起玩～
來選一個專屬你的大頭貼照吧✨",photo,https://www.facebook.com/cookierunzh/photos/a.1671410236436871.1073741828.1556276644616898/1689841771260384/?type=3,291,697,11.0
1556276644616898_1689576537953574,2016-11-06 14:33:31,Timeline Photos,"[緊急維護公告 - 已結束]

由於大量玩家湧入，所進行的緊急維護作業已完成。
遊戲中造成不便，敬請見諒。

我們將發送補償獎勵300顆水晶表示歉意。

* 補償發送對象：
於11月7日(一)00:00前為止加入《跑跑薑餅人 : 烤箱大逃亡》的玩家們

* 獎勵下發時間：
2016年11月7日(一) 23:00止 
(台灣時間為準)

營運團隊將持續努力提供良好的遊戲環境!

跑跑薑餅人營運團隊敬上",photo,https://www.facebook.com/cookierunzh/photos/a.1671410236436871.1073741828.1556276644616898/1689576537953574/?type=3,116,470,4.0
1556276644616898_1687789144798980,2016-11-03 05:41:00,Timeline Photos,"事前預約FB分享活動 🎉
中獎名單出爐囉！🎁

恭喜幸運的跑跑玩家！
並感謝所有熱情參與的你們～

👉請前往下列網址查看
https://forum.cookierun.com/thread/22380#/page-1

★中獎者於11/9(三)23:59前“私訊”我們，逾期視同放棄。　
提供以下資料：
中獎商品：
FB名稱：
收件人：
收件地址：
手機：
市話：

今天也跑得愉快囉！",photo,https://www.facebook.com/cookierunzh/photos/a.1671410236436871.1073741828.1556276644616898/1687789144798980/?type=3,144,710,13.0
1556276644616898_1687341934843701,2016-11-02 05:00:00,,"你喜歡哪一個呢✨
左 or 右？！",video,https://www.facebook.com/cookierunzh/videos/1687341934843701/,214,623,1.0
1556276644616898_1686736478237580,2016-11-01 00:00:11,Timeline Photos,"【獎勵調整公告】
嗨～親愛的跑友們

因應眾多玩家們於論壇、評論中留下的反饋，進行了下列調整項目。

1. 迷你水晶瓶登場！
迷你玻璃瓶變更為迷你水晶瓶，只要奔跑，就能收集水晶。
各Land中，含有高達17顆的水晶。

2. 第4～7名的獎勵更加精彩 ! 
原先的灰色寶箱升級至木質寶箱，現在輕鬆收集餅乾、寵物！

3. 進入新的Land時，送你水晶禮物！
前進新Land的話，就有機會獲得水晶獎勵，最多700顆。
現在已位於高階Land嗎？別擔心～將全部發送1次喔。

4. 禮包商品，輕鬆購買！
逃出等級11起，升級的時候，就能購買最高級寶箱禮包！

5. 享受在實力相當的Land中跑跑吧！
當玩家掉落(以當前Land所需的獎盃數為基準)200個以上獎盃數，就會降回上一個Land～
請在獎盃數所對應的Land中，和實力相當的對手較勁，最低最低降至Land2～

此外，團隊將持續開發新元素、新系統，未來將與大家見面！
敬請期待😉

隨時歡迎跑友們反饋給我們～
我們將盡最大努力，提供更歡樂的跑跑薑餅人💪
我們遊戲裡見囉，不見不散！",photo,https://www.facebook.com/cookierunzh/photos/a.1671410236436871.1073741828.1556276644616898/1686736478237580/?type=3,160,453,3.0
1556276644616898_1686626471581914,2016-10-31 14:45:00,,"【獎勵調整預告】　
親愛的跑友們，大家好！
今天跑得還愉快嗎？

我們收到了各位跑跑玩家的反饋
預計在今晚深夜進行特別更新
令人開心的小變化等著您！

跑跑薑餅人將持續傾聽各位玩家最原始的心聲😊

跑跑薑餅人營運團隊敬上",status,,74,245,2.0
1556276644616898_1685673295010565,2016-10-30 02:59:00,Cookie Dance 餅乾舞,"👉 Cookie Dance 餅乾舞👈
跳跳薑餅人來囉😝

餅乾會跑、還會跳！
一起來跟著動次動次～扭～動～吧🎶

＃一起來跳吧 ＃跟著上的請舉手
＃你喜歡哪一個餅乾呢
＃有人發現音樂很熟悉嗎",video,https://www.facebook.com/cookierunzh/videos/1685673295010565/,1106,3589,243.0
